nohup: ignoring input
Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 30056
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'drug_3d': 0, 'protein_1d': 0, 'protein_3d': 0}
TOTAL SIZE: 30056
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: /data1/ztx/MyModel-MDTA/data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + drug_3d + protein_1d + protein_3d + softclip(label-sim) + pcl(protein1d-protein3d)

EPOCH 1/10
  STEP 2300/5739 | TOTAL_LOSS=0.560743 | REG_LOSS=0.160905 | SOFTCLIP_LOSS=1.248222 | PCL_LOSS=2.750155 | DRUG_PCL=1.359178 | PROT_PCL=1.390978 | MEAN_GATE=0.5151 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3029 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.401130
  STEP 2400/5739 | TOTAL_LOSS=0.987048 | REG_LOSS=0.573839 | SOFTCLIP_LOSS=1.386916 | PCL_LOSS=2.745179 | DRUG_PCL=1.368568 | PROT_PCL=1.376611 | MEAN_GATE=0.5233 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | MEAN_DIAG_PRIOR_MASS=0.2705 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.757521
  STEP 2500/5739 | TOTAL_LOSS=0.500169 | REG_LOSS=0.088778 | SOFTCLIP_LOSS=1.333086 | PCL_LOSS=2.780823 | DRUG_PCL=1.382663 | PROT_PCL=1.398161 | MEAN_GATE=0.5181 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2430 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.297957
  STEP 2600/5739 | TOTAL_LOSS=1.426494 | REG_LOSS=1.015919 | SOFTCLIP_LOSS=1.323151 | PCL_LOSS=2.782595 | DRUG_PCL=1.392423 | PROT_PCL=1.390172 | MEAN_GATE=0.5310 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2737 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.007928
  STEP 2700/5739 | TOTAL_LOSS=0.767990 | REG_LOSS=0.373959 | SOFTCLIP_LOSS=1.155732 | PCL_LOSS=2.784577 | DRUG_PCL=1.411132 | PROT_PCL=1.373445 | MEAN_GATE=0.5228 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.2870 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.611522
  STEP 2800/5739 | TOTAL_LOSS=0.684416 | REG_LOSS=0.274601 | SOFTCLIP_LOSS=1.315148 | PCL_LOSS=2.783003 | DRUG_PCL=1.379994 | PROT_PCL=1.403009 | MEAN_GATE=0.5363 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.1685 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.524024
  STEP 2900/5739 | TOTAL_LOSS=0.507138 | REG_LOSS=0.107384 | SOFTCLIP_LOSS=1.155034 | PCL_LOSS=2.842508 | DRUG_PCL=1.463995 | PROT_PCL=1.378513 | MEAN_GATE=0.5307 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3235 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.327695
  STEP 3000/5739 | TOTAL_LOSS=0.834928 | REG_LOSS=0.421009 | SOFTCLIP_LOSS=1.349483 | PCL_LOSS=2.789707 | DRUG_PCL=1.384348 | PROT_PCL=1.405359 | MEAN_GATE=0.5503 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2068 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.648852
  STEP 3100/5739 | TOTAL_LOSS=0.591176 | REG_LOSS=0.207175 | SOFTCLIP_LOSS=1.042577 | PCL_LOSS=2.797437 | DRUG_PCL=1.389450 | PROT_PCL=1.407987 | MEAN_GATE=0.5298 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.3719 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.455165
  STEP 3200/5739 | TOTAL_LOSS=0.834736 | REG_LOSS=0.450930 | SOFTCLIP_LOSS=1.061103 | PCL_LOSS=2.776965 | DRUG_PCL=1.373804 | PROT_PCL=1.403161 | MEAN_GATE=0.5514 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.3666 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.671513
