nohup: ignoring input
Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(diag-mul) + pcl(protein1d-protein3d)
RESUMED FROM: outputs/davis_softclip_pcl_diagmul_bs4_ep200_a10_gpu0/latest_model.pt | start_epoch=40 | best_val_rmse=0.570351

EPOCH 40/200
  STEP 3700/5739 | TOTAL_LOSS=0.646550 | REG_LOSS=0.541559 | SOFTCLIP_LOSS=1.049857 | PCL_LOSS=0.000059 | MEAN_GATE=0.3757 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.6379 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.735907
  STEP 3800/5739 | TOTAL_LOSS=0.165944 | REG_LOSS=0.025550 | SOFTCLIP_LOSS=1.137190 | PCL_LOSS=0.266749 | MEAN_GATE=0.2387 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3888 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.159843
  STEP 3900/5739 | TOTAL_LOSS=0.292255 | REG_LOSS=0.185486 | SOFTCLIP_LOSS=1.067684 | PCL_LOSS=0.000001 | MEAN_GATE=0.3276 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3760 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.430681
  STEP 4000/5739 | TOTAL_LOSS=0.265954 | REG_LOSS=0.114006 | SOFTCLIP_LOSS=1.247114 | PCL_LOSS=0.272367 | MEAN_GATE=0.3498 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4371 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.337648
  STEP 4100/5739 | TOTAL_LOSS=0.296232 | REG_LOSS=0.191609 | SOFTCLIP_LOSS=1.046233 | PCL_LOSS=0.000000 | MEAN_GATE=0.3281 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.4274 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.437731
  STEP 4200/5739 | TOTAL_LOSS=0.447302 | REG_LOSS=0.332135 | SOFTCLIP_LOSS=1.151653 | PCL_LOSS=0.000010 | MEAN_GATE=0.2968 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4785 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.576312
  STEP 4300/5739 | TOTAL_LOSS=0.147057 | REG_LOSS=0.024733 | SOFTCLIP_LOSS=1.221333 | PCL_LOSS=0.001911 | MEAN_GATE=0.2405 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4500 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.157267
  STEP 4400/5739 | TOTAL_LOSS=0.214187 | REG_LOSS=0.104438 | SOFTCLIP_LOSS=1.097490 | PCL_LOSS=0.000000 | MEAN_GATE=0.3655 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | MEAN_DIAG_PRIOR_MASS=0.3536 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.323169
  STEP 4500/5739 | TOTAL_LOSS=0.180297 | REG_LOSS=0.056594 | SOFTCLIP_LOSS=1.236732 | PCL_LOSS=0.000305 | MEAN_GATE=0.3088 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4110 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.237895
  STEP 4600/5739 | TOTAL_LOSS=0.198491 | REG_LOSS=0.079822 | SOFTCLIP_LOSS=1.186696 | PCL_LOSS=0.000001 | MEAN_GATE=0.3731 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.5088 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.282527
  STEP 4700/5739 | TOTAL_LOSS=0.197897 | REG_LOSS=0.068117 | SOFTCLIP_LOSS=1.297631 | PCL_LOSS=0.000166 | MEAN_GATE=0.2484 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.4039 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.260993
  STEP 4800/5739 | TOTAL_LOSS=0.231343 | REG_LOSS=0.114479 | SOFTCLIP_LOSS=1.122581 | PCL_LOSS=0.046062 | MEAN_GATE=0.2713 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.4241 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.338347
  STEP 4900/5739 | TOTAL_LOSS=6.038424 | REG_LOSS=5.915023 | SOFTCLIP_LOSS=1.227417 | PCL_LOSS=0.006595 | MEAN_GATE=0.3461 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4937 | DIAG_ALPHA=1.00 | BATCH_RMSE=2.432082
  STEP 5000/5739 | TOTAL_LOSS=0.636908 | REG_LOSS=0.518087 | SOFTCLIP_LOSS=1.188210 | PCL_LOSS=0.000001 | MEAN_GATE=0.3037 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.5300 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.719782
