nohup: ignoring input
Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 30056
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'drug_3d': 0, 'protein_1d': 0, 'protein_3d': 0}
TOTAL SIZE: 30056
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: /data1/ztx/MyModel-MDTA/data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + drug_3d + protein_1d + protein_3d + softclip(label-sim) + pcl(protein1d-protein3d)
RESUMED FROM: /data1/ztx/MyModel-MDTA/outputs/EGNN/davis_softclip_pcl_labelsim_drug3d_prot3d_full200/best_model.pt | start_epoch=277 | best_val_rmse=0.454591 | no_improve=52

EPOCH 277/500
  STEP 2300/5739 | TOTAL_LOSS=0.220234 | REG_LOSS=0.092975 | SOFTCLIP_LOSS=1.246928 | PCL_LOSS=0.025665 | DRUG_PCL=0.000023 | PROT_PCL=0.025643 | MEAN_GATE=0.3387 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3029 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.304918
  STEP 2400/5739 | TOTAL_LOSS=0.282077 | REG_LOSS=0.141329 | SOFTCLIP_LOSS=1.382992 | PCL_LOSS=0.024482 | DRUG_PCL=0.024427 | PROT_PCL=0.000055 | MEAN_GATE=0.3238 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | MEAN_DIAG_PRIOR_MASS=0.2705 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.375938
  STEP 2500/5739 | TOTAL_LOSS=0.155344 | REG_LOSS=0.010345 | SOFTCLIP_LOSS=1.253619 | PCL_LOSS=0.196371 | DRUG_PCL=0.001163 | PROT_PCL=0.195207 | MEAN_GATE=0.3297 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2430 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.101710
  STEP 2600/5739 | TOTAL_LOSS=0.304342 | REG_LOSS=0.175113 | SOFTCLIP_LOSS=1.284988 | PCL_LOSS=0.007302 | DRUG_PCL=0.000572 | PROT_PCL=0.006730 | MEAN_GATE=0.3766 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2737 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.418466
  STEP 2700/5739 | TOTAL_LOSS=0.174231 | REG_LOSS=0.029490 | SOFTCLIP_LOSS=1.150784 | PCL_LOSS=0.296625 | DRUG_PCL=0.296211 | PROT_PCL=0.000415 | MEAN_GATE=0.3264 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.2870 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.171728
  STEP 2800/5739 | TOTAL_LOSS=0.553100 | REG_LOSS=0.388894 | SOFTCLIP_LOSS=1.244535 | PCL_LOSS=0.397520 | DRUG_PCL=0.000005 | PROT_PCL=0.397514 | MEAN_GATE=0.3724 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.1685 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.623614
  STEP 2900/5739 | TOTAL_LOSS=0.157849 | REG_LOSS=0.012839 | SOFTCLIP_LOSS=1.154766 | PCL_LOSS=0.295334 | DRUG_PCL=0.000001 | PROT_PCL=0.295333 | MEAN_GATE=0.3566 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3235 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.113308
  STEP 3000/5739 | TOTAL_LOSS=0.266174 | REG_LOSS=0.125254 | SOFTCLIP_LOSS=1.316692 | PCL_LOSS=0.092503 | DRUG_PCL=0.000000 | PROT_PCL=0.092503 | MEAN_GATE=0.3168 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2068 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.353912
  STEP 3100/5739 | TOTAL_LOSS=0.148744 | REG_LOSS=0.044046 | SOFTCLIP_LOSS=1.046655 | PCL_LOSS=0.000322 | DRUG_PCL=0.000300 | PROT_PCL=0.000023 | MEAN_GATE=0.3413 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.3719 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.209872
  STEP 3200/5739 | TOTAL_LOSS=0.149618 | REG_LOSS=0.037937 | SOFTCLIP_LOSS=1.035437 | PCL_LOSS=0.081372 | DRUG_PCL=0.000001 | PROT_PCL=0.081371 | MEAN_GATE=0.3457 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.3666 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.194774
  STEP 3300/5739 | TOTAL_LOSS=0.427350 | REG_LOSS=0.248586 | SOFTCLIP_LOSS=1.284855 | PCL_LOSS=0.502784 | DRUG_PCL=0.000029 | PROT_PCL=0.502755 | MEAN_GATE=0.3118 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | MEAN_DIAG_PRIOR_MASS=0.4155 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.498584
  STEP 3400/5739 | TOTAL_LOSS=0.268091 | REG_LOSS=0.191397 | SOFTCLIP_LOSS=0.763797 | PCL_LOSS=0.003142 | DRUG_PCL=0.000000 | PROT_PCL=0.003142 | MEAN_GATE=0.3475 | MEAN_VALID_PER_ROW=2.25 | MEAN_VALID_OFFDIAG=1.25 | MEAN_DIAG_PRIOR_MASS=0.5417 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.437489
