nohup: ignoring input
Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 30056
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'drug_3d': 0, 'protein_1d': 0, 'protein_3d': 0}
TOTAL SIZE: 30056
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: /data1/ztx/MyModel-MDTA/data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + drug_3d + protein_1d + protein_3d + softclip(label-sim) + pcl(protein1d-protein3d)
RESUMED FROM: /data1/ztx/MyModel-MDTA/outputs/EGNN/parameter_tuning/davis_s1_lc005_lp010/best_model.pt | start_epoch=182 | best_val_rmse=0.456179 | no_improve=0

EPOCH 182/500
  STEP 2300/5739 | TOTAL_LOSS=0.020806 | REG_LOSS=0.020806 | SOFTCLIP_LOSS=1.244456 | PCL_LOSS=0.220697 | DRUG_PCL=0.001069 | PROT_PCL=0.219629 | MEAN_GATE=0.3148 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3029 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.144243
  STEP 2400/5739 | TOTAL_LOSS=0.052364 | REG_LOSS=0.052364 | SOFTCLIP_LOSS=1.400785 | PCL_LOSS=0.069567 | DRUG_PCL=0.069562 | PROT_PCL=0.000005 | MEAN_GATE=0.2921 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | MEAN_DIAG_PRIOR_MASS=0.2705 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.228833
  STEP 2500/5739 | TOTAL_LOSS=0.016667 | REG_LOSS=0.016667 | SOFTCLIP_LOSS=1.261893 | PCL_LOSS=0.664084 | DRUG_PCL=0.148598 | PROT_PCL=0.515486 | MEAN_GATE=0.3503 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2430 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.129102
  STEP 2600/5739 | TOTAL_LOSS=0.056999 | REG_LOSS=0.056999 | SOFTCLIP_LOSS=1.261325 | PCL_LOSS=0.151552 | DRUG_PCL=0.000197 | PROT_PCL=0.151355 | MEAN_GATE=0.3602 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2737 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.238745
  STEP 2700/5739 | TOTAL_LOSS=0.034664 | REG_LOSS=0.034664 | SOFTCLIP_LOSS=1.150068 | PCL_LOSS=1.078705 | DRUG_PCL=0.517817 | PROT_PCL=0.560888 | MEAN_GATE=0.2842 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.2870 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.186182
  STEP 2800/5739 | TOTAL_LOSS=0.139860 | REG_LOSS=0.139860 | SOFTCLIP_LOSS=1.246579 | PCL_LOSS=0.036210 | DRUG_PCL=0.034959 | PROT_PCL=0.001251 | MEAN_GATE=0.3625 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.1685 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.373978
  STEP 2900/5739 | TOTAL_LOSS=0.009152 | REG_LOSS=0.009152 | SOFTCLIP_LOSS=1.156953 | PCL_LOSS=0.523199 | DRUG_PCL=0.000028 | PROT_PCL=0.523171 | MEAN_GATE=0.3253 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3235 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.095668
  STEP 3000/5739 | TOTAL_LOSS=0.128760 | REG_LOSS=0.128760 | SOFTCLIP_LOSS=1.281858 | PCL_LOSS=5.431728 | DRUG_PCL=0.000001 | PROT_PCL=5.431727 | MEAN_GATE=0.2699 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2068 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.358831
  STEP 3100/5739 | TOTAL_LOSS=0.009658 | REG_LOSS=0.009658 | SOFTCLIP_LOSS=1.044083 | PCL_LOSS=0.783774 | DRUG_PCL=0.000000 | PROT_PCL=0.783774 | MEAN_GATE=0.3358 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.3719 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.098274
  STEP 3200/5739 | TOTAL_LOSS=0.193519 | REG_LOSS=0.193519 | SOFTCLIP_LOSS=1.049882 | PCL_LOSS=0.803306 | DRUG_PCL=0.000000 | PROT_PCL=0.803306 | MEAN_GATE=0.3232 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.3666 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.439908
