Using device: cuda
[DavisDatasetP13D] input pairs: 118254
[DavisDatasetP13D] kept pairs : 118254
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 0}
TOTAL SIZE: 118254
TRAIN SIZE: 94603
VAL SIZE: 23651
SPLIT JSON: data/splits/kiba_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(label-sim) + pcl(protein1d-protein3d)

EPOCH 1/200
  STEP 2900/5913 | TOTAL_LOSS=1.057545 | REG_LOSS=0.576631 | SOFTCLIP_LOSS=2.037962 | PCL_LOSS=2.771173 | MEAN_GATE=0.5532 | MEAN_VALID_PER_ROW=9.06 | MEAN_VALID_OFFDIAG=8.06 | MEAN_DIAG_PRIOR_MASS=0.2284 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.759363
  STEP 3000/5913 | TOTAL_LOSS=1.012151 | REG_LOSS=0.538545 | SOFTCLIP_LOSS=1.956506 | PCL_LOSS=2.779555 | MEAN_GATE=0.5466 | MEAN_VALID_PER_ROW=8.69 | MEAN_VALID_OFFDIAG=7.69 | MEAN_DIAG_PRIOR_MASS=0.2340 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.733856
  STEP 3100/5913 | TOTAL_LOSS=1.412308 | REG_LOSS=0.954629 | SOFTCLIP_LOSS=1.794369 | PCL_LOSS=2.782413 | MEAN_GATE=0.5501 | MEAN_VALID_PER_ROW=7.56 | MEAN_VALID_OFFDIAG=6.56 | MEAN_DIAG_PRIOR_MASS=0.3153 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.977051
  STEP 3200/5913 | TOTAL_LOSS=0.903976 | REG_LOSS=0.412804 | SOFTCLIP_LOSS=2.132914 | PCL_LOSS=2.778804 | MEAN_GATE=0.5591 | MEAN_VALID_PER_ROW=9.25 | MEAN_VALID_OFFDIAG=8.25 | MEAN_DIAG_PRIOR_MASS=0.1077 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.642499
  STEP 3300/5913 | TOTAL_LOSS=1.783286 | REG_LOSS=1.332919 | SOFTCLIP_LOSS=1.734684 | PCL_LOSS=2.768981 | MEAN_GATE=0.5638 | MEAN_VALID_PER_ROW=6.69 | MEAN_VALID_OFFDIAG=5.69 | MEAN_DIAG_PRIOR_MASS=0.2397 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.154521
  STEP 3400/5913 | TOTAL_LOSS=1.061287 | REG_LOSS=0.578151 | SOFTCLIP_LOSS=2.059432 | PCL_LOSS=2.771927 | MEAN_GATE=0.5585 | MEAN_VALID_PER_ROW=9.19 | MEAN_VALID_OFFDIAG=8.19 | MEAN_DIAG_PRIOR_MASS=0.1972 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.760362
  STEP 3500/5913 | TOTAL_LOSS=1.486955 | REG_LOSS=1.007304 | SOFTCLIP_LOSS=2.033462 | PCL_LOSS=2.763051 | MEAN_GATE=0.5652 | MEAN_VALID_PER_ROW=9.00 | MEAN_VALID_OFFDIAG=8.00 | MEAN_DIAG_PRIOR_MASS=0.2333 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.003645
  STEP 3600/5913 | TOTAL_LOSS=1.190475 | REG_LOSS=0.703014 | SOFTCLIP_LOSS=2.106819 | PCL_LOSS=2.767791 | MEAN_GATE=0.5742 | MEAN_VALID_PER_ROW=9.25 | MEAN_VALID_OFFDIAG=8.25 | MEAN_DIAG_PRIOR_MASS=0.1760 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.838459
  STEP 3700/5913 | TOTAL_LOSS=0.974761 | REG_LOSS=0.475402 | SOFTCLIP_LOSS=2.225587 | PCL_LOSS=2.768005 | MEAN_GATE=0.5710 | MEAN_VALID_PER_ROW=10.69 | MEAN_VALID_OFFDIAG=9.69 | MEAN_DIAG_PRIOR_MASS=0.1672 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.689494
  STEP 3800/5913 | TOTAL_LOSS=1.291857 | REG_LOSS=0.818701 | SOFTCLIP_LOSS=1.952838 | PCL_LOSS=2.778717 | MEAN_GATE=0.5794 | MEAN_VALID_PER_ROW=7.81 | MEAN_VALID_OFFDIAG=6.81 | MEAN_DIAG_PRIOR_MASS=0.1536 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.904821
