Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(drug-protein) + pcl(protein1d-protein3d)

EPOCH 1/200
  STEP 4300/5739 | TOTAL_LOSS=0.492442 | REG_LOSS=0.280514 | SOFTCLIP_LOSS=1.225820 | PCL_LOSS=0.893463 | MEAN_GATE=0.4940 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.6458 | DIAG_W=0.50 | BATCH_RMSE=0.529635
  STEP 4400/5739 | TOTAL_LOSS=0.663152 | REG_LOSS=0.468316 | SOFTCLIP_LOSS=1.332792 | PCL_LOSS=0.615573 | MEAN_GATE=0.4942 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | MEAN_DIAG_PRIOR_MASS=0.6076 | DIAG_W=0.50 | BATCH_RMSE=0.684336
  STEP 4500/5739 | TOTAL_LOSS=0.249231 | REG_LOSS=0.054657 | SOFTCLIP_LOSS=1.254887 | PCL_LOSS=0.690851 | MEAN_GATE=0.4910 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.6319 | DIAG_W=0.50 | BATCH_RMSE=0.233788
  STEP 4600/5739 | TOTAL_LOSS=0.650931 | REG_LOSS=0.490750 | SOFTCLIP_LOSS=1.182158 | PCL_LOSS=0.419662 | MEAN_GATE=0.4955 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.6746 | DIAG_W=0.50 | BATCH_RMSE=0.700535
  STEP 4700/5739 | TOTAL_LOSS=0.333168 | REG_LOSS=0.132690 | SOFTCLIP_LOSS=1.319348 | PCL_LOSS=0.685437 | MEAN_GATE=0.4910 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.6269 | DIAG_W=0.50 | BATCH_RMSE=0.364266
  STEP 4800/5739 | TOTAL_LOSS=0.402887 | REG_LOSS=0.224759 | SOFTCLIP_LOSS=1.145370 | PCL_LOSS=0.635911 | MEAN_GATE=0.4762 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.6374 | DIAG_W=0.50 | BATCH_RMSE=0.474088
  STEP 4900/5739 | TOTAL_LOSS=6.467899 | REG_LOSS=6.267859 | SOFTCLIP_LOSS=1.229726 | PCL_LOSS=0.770680 | MEAN_GATE=0.4827 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.6866 | DIAG_W=0.50 | BATCH_RMSE=2.503569
  STEP 5000/5739 | TOTAL_LOSS=0.989519 | REG_LOSS=0.808541 | SOFTCLIP_LOSS=1.333343 | PCL_LOSS=0.476442 | MEAN_GATE=0.4996 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.6864 | DIAG_W=0.50 | BATCH_RMSE=0.899189
  STEP 5100/5739 | TOTAL_LOSS=0.518138 | REG_LOSS=0.359756 | SOFTCLIP_LOSS=0.968551 | PCL_LOSS=0.615268 | MEAN_GATE=0.4998 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.7025 | DIAG_W=0.50 | BATCH_RMSE=0.599797
  STEP 5200/5739 | TOTAL_LOSS=0.930322 | REG_LOSS=0.763837 | SOFTCLIP_LOSS=1.155465 | PCL_LOSS=0.509385 | MEAN_GATE=0.4937 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.6448 | DIAG_W=0.50 | BATCH_RMSE=0.873978
