Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + stdclip(drug-protein) + pcl(protein1d-protein3d)

EPOCH 1/30
  STEP 5500/5739 | TOTAL_LOSS=0.866211 | REG_LOSS=0.692470 | STDCLIP_LOSS=1.408701 | PCL_LOSS=0.328717 | MEAN_GATE=0.4672 | BATCH_RMSE=0.832148
  STEP 5600/5739 | TOTAL_LOSS=0.968707 | REG_LOSS=0.716557 | STDCLIP_LOSS=1.405988 | PCL_LOSS=1.115512 | MEAN_GATE=0.4995 | BATCH_RMSE=0.846497
  STEP 5700/5739 | TOTAL_LOSS=0.891534 | REG_LOSS=0.729710 | STDCLIP_LOSS=1.400948 | PCL_LOSS=0.217297 | MEAN_GATE=0.4756 | BATCH_RMSE=0.854231
[EPOCH 001/030] TRAIN: TOTAL=1.045866 | REG=0.829919 | STDCLIP=1.388526 | PCL=0.770948 | RMSE=0.910999 | MAE=0.630235 | CI=0.681866 | RM2=0.097502
[EPOCH 001/030] VAL  : TOTAL=0.780707 | REG=0.605140 | STDCLIP=1.386285 | PCL=0.369377 | RMSE=0.777908 | MAE=0.532870 | CI=0.760794 | RM2=0.230096
  SAVED NEW BEST MODEL | EPOCH=001 | BEST_VAL_RMSE=0.777908 | BEST_VAL_MAE=0.532870 | BEST_VAL_CI=0.760794 | BEST_VAL_RM2=0.230096

EPOCH 2/30
  STEP 100/5739 | TOTAL_LOSS=0.463932 | REG_LOSS=0.217637 | STDCLIP_LOSS=1.393611 | PCL_LOSS=1.069342 | MEAN_GATE=0.4872 | BATCH_RMSE=0.466515
  STEP 200/5739 | TOTAL_LOSS=2.213221 | REG_LOSS=2.065090 | STDCLIP_LOSS=1.399285 | PCL_LOSS=0.082029 | MEAN_GATE=0.4869 | BATCH_RMSE=1.437042
  STEP 300/5739 | TOTAL_LOSS=1.170657 | REG_LOSS=0.991684 | STDCLIP_LOSS=1.421246 | PCL_LOSS=0.368482 | MEAN_GATE=0.4805 | BATCH_RMSE=0.995834
  STEP 400/5739 | TOTAL_LOSS=1.255425 | REG_LOSS=1.076044 | STDCLIP_LOSS=1.388906 | PCL_LOSS=0.404902 | MEAN_GATE=0.4801 | BATCH_RMSE=1.037326
  STEP 500/5739 | TOTAL_LOSS=0.371550 | REG_LOSS=0.188204 | STDCLIP_LOSS=1.381857 | PCL_LOSS=0.451600 | MEAN_GATE=0.4486 | BATCH_RMSE=0.433825
  STEP 600/5739 | TOTAL_LOSS=0.684448 | REG_LOSS=0.526485 | STDCLIP_LOSS=1.394537 | PCL_LOSS=0.185091 | MEAN_GATE=0.4578 | BATCH_RMSE=0.725593
  STEP 700/5739 | TOTAL_LOSS=0.480142 | REG_LOSS=0.340833 | STDCLIP_LOSS=1.392276 | PCL_LOSS=0.000812 | MEAN_GATE=0.4931 | BATCH_RMSE=0.583809
  STEP 800/5739 | TOTAL_LOSS=0.273140 | REG_LOSS=0.077587 | STDCLIP_LOSS=1.388738 | PCL_LOSS=0.566793 | MEAN_GATE=0.4431 | BATCH_RMSE=0.278544
  STEP 900/5739 | TOTAL_LOSS=0.278533 | REG_LOSS=0.134630 | STDCLIP_LOSS=1.369966 | PCL_LOSS=0.069068 | MEAN_GATE=0.4397 | BATCH_RMSE=0.366920
  STEP 1000/5739 | TOTAL_LOSS=0.374180 | REG_LOSS=0.127232 | STDCLIP_LOSS=1.370347 | PCL_LOSS=1.099129 | MEAN_GATE=0.4411 | BATCH_RMSE=0.356696
  STEP 1100/5739 | TOTAL_LOSS=1.337131 | REG_LOSS=1.184945 | STDCLIP_LOSS=1.378208 | PCL_LOSS=0.143645 | MEAN_GATE=0.4597 | BATCH_RMSE=1.088552
  STEP 1200/5739 | TOTAL_LOSS=0.837500 | REG_LOSS=0.664679 | STDCLIP_LOSS=1.388886 | PCL_LOSS=0.339322 | MEAN_GATE=0.4327 | BATCH_RMSE=0.815278
  STEP 1300/5739 | TOTAL_LOSS=1.141344 | REG_LOSS=0.948883 | STDCLIP_LOSS=1.409822 | PCL_LOSS=0.514788 | MEAN_GATE=0.4142 | BATCH_RMSE=0.974106
  STEP 1400/5739 | TOTAL_LOSS=0.365225 | REG_LOSS=0.220431 | STDCLIP_LOSS=1.380746 | PCL_LOSS=0.067196 | MEAN_GATE=0.4284 | BATCH_RMSE=0.469500
  STEP 1500/5739 | TOTAL_LOSS=0.573816 | REG_LOSS=0.394826 | STDCLIP_LOSS=1.399928 | PCL_LOSS=0.389978 | MEAN_GATE=0.4812 | BATCH_RMSE=0.628352
  STEP 1600/5739 | TOTAL_LOSS=0.488168 | REG_LOSS=0.310817 | STDCLIP_LOSS=1.364110 | PCL_LOSS=0.409398 | MEAN_GATE=0.4277 | BATCH_RMSE=0.557509
  STEP 1700/5739 | TOTAL_LOSS=0.799176 | REG_LOSS=0.647389 | STDCLIP_LOSS=1.396474 | PCL_LOSS=0.121397 | MEAN_GATE=0.4588 | BATCH_RMSE=0.804605
  STEP 1800/5739 | TOTAL_LOSS=1.813473 | REG_LOSS=1.658605 | STDCLIP_LOSS=1.373904 | PCL_LOSS=0.174778 | MEAN_GATE=0.4600 | BATCH_RMSE=1.287868
  STEP 1900/5739 | TOTAL_LOSS=0.225738 | REG_LOSS=0.042221 | STDCLIP_LOSS=1.401016 | PCL_LOSS=0.434158 | MEAN_GATE=0.4605 | BATCH_RMSE=0.205477
  STEP 2000/5739 | TOTAL_LOSS=0.311835 | REG_LOSS=0.169554 | STDCLIP_LOSS=1.373198 | PCL_LOSS=0.049616 | MEAN_GATE=0.4611 | BATCH_RMSE=0.411769
  STEP 2100/5739 | TOTAL_LOSS=0.369638 | REG_LOSS=0.145559 | STDCLIP_LOSS=1.397666 | PCL_LOSS=0.843133 | MEAN_GATE=0.4496 | BATCH_RMSE=0.381521
  STEP 2200/5739 | TOTAL_LOSS=1.962462 | REG_LOSS=1.754769 | STDCLIP_LOSS=1.385140 | PCL_LOSS=0.691781 | MEAN_GATE=0.4720 | BATCH_RMSE=1.324677
  STEP 2300/5739 | TOTAL_LOSS=0.874041 | REG_LOSS=0.698527 | STDCLIP_LOSS=1.359504 | PCL_LOSS=0.395644 | MEAN_GATE=0.4687 | BATCH_RMSE=0.835779
  STEP 2400/5739 | TOTAL_LOSS=2.332893 | REG_LOSS=2.176145 | STDCLIP_LOSS=1.407017 | PCL_LOSS=0.160457 | MEAN_GATE=0.4622 | BATCH_RMSE=1.475176
  STEP 2500/5739 | TOTAL_LOSS=0.238926 | REG_LOSS=0.094910 | STDCLIP_LOSS=1.401351 | PCL_LOSS=0.038810 | MEAN_GATE=0.4442 | BATCH_RMSE=0.308074
  STEP 2600/5739 | TOTAL_LOSS=0.328192 | REG_LOSS=0.165684 | STDCLIP_LOSS=1.402989 | PCL_LOSS=0.222087 | MEAN_GATE=0.4300 | BATCH_RMSE=0.407043
  STEP 2700/5739 | TOTAL_LOSS=0.804627 | REG_LOSS=0.632641 | STDCLIP_LOSS=1.385402 | PCL_LOSS=0.334456 | MEAN_GATE=0.4155 | BATCH_RMSE=0.795387
  STEP 2800/5739 | TOTAL_LOSS=0.249716 | REG_LOSS=0.072550 | STDCLIP_LOSS=1.398167 | PCL_LOSS=0.373493 | MEAN_GATE=0.4764 | BATCH_RMSE=0.269351
  STEP 2900/5739 | TOTAL_LOSS=0.606546 | REG_LOSS=0.458920 | STDCLIP_LOSS=1.358249 | PCL_LOSS=0.118011 | MEAN_GATE=0.4578 | BATCH_RMSE=0.677436
  STEP 3000/5739 | TOTAL_LOSS=0.616361 | REG_LOSS=0.446536 | STDCLIP_LOSS=1.350717 | PCL_LOSS=0.347535 | MEAN_GATE=0.4574 | BATCH_RMSE=0.668233
  STEP 3100/5739 | TOTAL_LOSS=0.690295 | REG_LOSS=0.549368 | STDCLIP_LOSS=1.380213 | PCL_LOSS=0.029055 | MEAN_GATE=0.4467 | BATCH_RMSE=0.741194
  STEP 3200/5739 | TOTAL_LOSS=0.517669 | REG_LOSS=0.321430 | STDCLIP_LOSS=1.401211 | PCL_LOSS=0.561184 | MEAN_GATE=0.4511 | BATCH_RMSE=0.566948
  STEP 3300/5739 | TOTAL_LOSS=1.741855 | REG_LOSS=1.539664 | STDCLIP_LOSS=1.429550 | PCL_LOSS=0.592357 | MEAN_GATE=0.4597 | BATCH_RMSE=1.240832
  STEP 3400/5739 | TOTAL_LOSS=0.992476 | REG_LOSS=0.832627 | STDCLIP_LOSS=1.370336 | PCL_LOSS=0.228155 | MEAN_GATE=0.4553 | BATCH_RMSE=0.912484
  STEP 3500/5739 | TOTAL_LOSS=0.578340 | REG_LOSS=0.432241 | STDCLIP_LOSS=1.396485 | PCL_LOSS=0.064505 | MEAN_GATE=0.4381 | BATCH_RMSE=0.657450
  STEP 3600/5739 | TOTAL_LOSS=1.687960 | REG_LOSS=1.471136 | STDCLIP_LOSS=1.373723 | PCL_LOSS=0.794521 | MEAN_GATE=0.4814 | BATCH_RMSE=1.212904
  STEP 3700/5739 | TOTAL_LOSS=0.777327 | REG_LOSS=0.595384 | STDCLIP_LOSS=1.367218 | PCL_LOSS=0.452207 | MEAN_GATE=0.3813 | BATCH_RMSE=0.771612
  STEP 3800/5739 | TOTAL_LOSS=2.140141 | REG_LOSS=2.000383 | STDCLIP_LOSS=1.385645 | PCL_LOSS=0.011933 | MEAN_GATE=0.4517 | BATCH_RMSE=1.414349
  STEP 3900/5739 | TOTAL_LOSS=0.769958 | REG_LOSS=0.602167 | STDCLIP_LOSS=1.372740 | PCL_LOSS=0.305167 | MEAN_GATE=0.4620 | BATCH_RMSE=0.775994
  STEP 4000/5739 | TOTAL_LOSS=0.541609 | REG_LOSS=0.401777 | STDCLIP_LOSS=1.396193 | PCL_LOSS=0.002127 | MEAN_GATE=0.4202 | BATCH_RMSE=0.633859
  STEP 4100/5739 | TOTAL_LOSS=0.681837 | REG_LOSS=0.537878 | STDCLIP_LOSS=1.390754 | PCL_LOSS=0.048838 | MEAN_GATE=0.4519 | BATCH_RMSE=0.733401
  STEP 4200/5739 | TOTAL_LOSS=0.394564 | REG_LOSS=0.210420 | STDCLIP_LOSS=1.402787 | PCL_LOSS=0.438653 | MEAN_GATE=0.4151 | BATCH_RMSE=0.458715
  STEP 4300/5739 | TOTAL_LOSS=0.811132 | REG_LOSS=0.672334 | STDCLIP_LOSS=1.382555 | PCL_LOSS=0.005419 | MEAN_GATE=0.4192 | BATCH_RMSE=0.819960
  STEP 4400/5739 | TOTAL_LOSS=0.634731 | REG_LOSS=0.482183 | STDCLIP_LOSS=1.391523 | PCL_LOSS=0.133956 | MEAN_GATE=0.4734 | BATCH_RMSE=0.694394
  STEP 4500/5739 | TOTAL_LOSS=0.349081 | REG_LOSS=0.209801 | STDCLIP_LOSS=1.388809 | PCL_LOSS=0.003994 | MEAN_GATE=0.4450 | BATCH_RMSE=0.458040
  STEP 4600/5739 | TOTAL_LOSS=2.443696 | REG_LOSS=2.186248 | STDCLIP_LOSS=1.391334 | PCL_LOSS=1.183148 | MEAN_GATE=0.4219 | BATCH_RMSE=1.478596
  STEP 4700/5739 | TOTAL_LOSS=0.225197 | REG_LOSS=0.071968 | STDCLIP_LOSS=1.407679 | PCL_LOSS=0.124618 | MEAN_GATE=0.3902 | BATCH_RMSE=0.268268
  STEP 4800/5739 | TOTAL_LOSS=0.446042 | REG_LOSS=0.250138 | STDCLIP_LOSS=1.393877 | PCL_LOSS=0.565164 | MEAN_GATE=0.3539 | BATCH_RMSE=0.500138
  STEP 4900/5739 | TOTAL_LOSS=0.488222 | REG_LOSS=0.349181 | STDCLIP_LOSS=1.374228 | PCL_LOSS=0.016175 | MEAN_GATE=0.3931 | BATCH_RMSE=0.590916
  STEP 5000/5739 | TOTAL_LOSS=3.069483 | REG_LOSS=2.931460 | STDCLIP_LOSS=1.369788 | PCL_LOSS=0.010441 | MEAN_GATE=0.3546 | BATCH_RMSE=1.712151
  STEP 5100/5739 | TOTAL_LOSS=0.383419 | REG_LOSS=0.208821 | STDCLIP_LOSS=1.385319 | PCL_LOSS=0.360656 | MEAN_GATE=0.3750 | BATCH_RMSE=0.456970
  STEP 5200/5739 | TOTAL_LOSS=1.123735 | REG_LOSS=0.979582 | STDCLIP_LOSS=1.369001 | PCL_LOSS=0.072537 | MEAN_GATE=0.3627 | BATCH_RMSE=0.989738
  STEP 5300/5739 | TOTAL_LOSS=0.307437 | REG_LOSS=0.167623 | STDCLIP_LOSS=1.387673 | PCL_LOSS=0.010466 | MEAN_GATE=0.3254 | BATCH_RMSE=0.409418
  STEP 5400/5739 | TOTAL_LOSS=2.108090 | REG_LOSS=1.952447 | STDCLIP_LOSS=1.389099 | PCL_LOSS=0.167335 | MEAN_GATE=0.3893 | BATCH_RMSE=1.397300
  STEP 5500/5739 | TOTAL_LOSS=0.630873 | REG_LOSS=0.464835 | STDCLIP_LOSS=1.382610 | PCL_LOSS=0.277772 | MEAN_GATE=0.4457 | BATCH_RMSE=0.681788
