Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + affinity-aware soft CLIP

EPOCH 1/30
  STEP 1300/2870 | TOTAL_LOSS=1.007709 | REG_LOSS=0.822844 | SOFTCLIP_LOSS=1.848656 | MEAN_VALID_PER_ROW=6.88 | MEAN_VALID_OFFDIAG=5.88 | BATCH_RMSE=0.907107
  STEP 1400/2870 | TOTAL_LOSS=0.550979 | REG_LOSS=0.360541 | SOFTCLIP_LOSS=1.904383 | MEAN_VALID_PER_ROW=6.88 | MEAN_VALID_OFFDIAG=5.88 | BATCH_RMSE=0.600451
  STEP 1500/2870 | TOTAL_LOSS=0.257972 | REG_LOSS=0.075124 | SOFTCLIP_LOSS=1.828479 | MEAN_VALID_PER_ROW=6.50 | MEAN_VALID_OFFDIAG=5.50 | BATCH_RMSE=0.274087
  STEP 1600/2870 | TOTAL_LOSS=0.732515 | REG_LOSS=0.553670 | SOFTCLIP_LOSS=1.788446 | MEAN_VALID_PER_ROW=6.50 | MEAN_VALID_OFFDIAG=5.50 | BATCH_RMSE=0.744090
  STEP 1700/2870 | TOTAL_LOSS=0.498968 | REG_LOSS=0.307495 | SOFTCLIP_LOSS=1.914726 | MEAN_VALID_PER_ROW=7.38 | MEAN_VALID_OFFDIAG=6.38 | BATCH_RMSE=0.554523
  STEP 1800/2870 | TOTAL_LOSS=1.420819 | REG_LOSS=1.233406 | SOFTCLIP_LOSS=1.874132 | MEAN_VALID_PER_ROW=7.12 | MEAN_VALID_OFFDIAG=6.12 | BATCH_RMSE=1.110588
  STEP 1900/2870 | TOTAL_LOSS=0.741677 | REG_LOSS=0.554696 | SOFTCLIP_LOSS=1.869815 | MEAN_VALID_PER_ROW=6.62 | MEAN_VALID_OFFDIAG=5.62 | BATCH_RMSE=0.744779
  STEP 2000/2870 | TOTAL_LOSS=2.392495 | REG_LOSS=2.222193 | SOFTCLIP_LOSS=1.703023 | MEAN_VALID_PER_ROW=6.38 | MEAN_VALID_OFFDIAG=5.38 | BATCH_RMSE=1.490702
  STEP 2100/2870 | TOTAL_LOSS=1.207954 | REG_LOSS=1.025012 | SOFTCLIP_LOSS=1.829424 | MEAN_VALID_PER_ROW=6.62 | MEAN_VALID_OFFDIAG=5.62 | BATCH_RMSE=1.012429
  STEP 2200/2870 | TOTAL_LOSS=0.414312 | REG_LOSS=0.252065 | SOFTCLIP_LOSS=1.622475 | MEAN_VALID_PER_ROW=7.00 | MEAN_VALID_OFFDIAG=6.00 | BATCH_RMSE=0.502061
  STEP 2300/2870 | TOTAL_LOSS=0.728355 | REG_LOSS=0.555876 | SOFTCLIP_LOSS=1.724786 | MEAN_VALID_PER_ROW=6.75 | MEAN_VALID_OFFDIAG=5.75 | BATCH_RMSE=0.745571
  STEP 2400/2870 | TOTAL_LOSS=0.316828 | REG_LOSS=0.126575 | SOFTCLIP_LOSS=1.902534 | MEAN_VALID_PER_ROW=6.88 | MEAN_VALID_OFFDIAG=5.88 | BATCH_RMSE=0.355773
  STEP 2500/2870 | TOTAL_LOSS=1.106456 | REG_LOSS=0.944149 | SOFTCLIP_LOSS=1.623072 | MEAN_VALID_PER_ROW=6.25 | MEAN_VALID_OFFDIAG=5.25 | BATCH_RMSE=0.971673
  STEP 2600/2870 | TOTAL_LOSS=0.845865 | REG_LOSS=0.664781 | SOFTCLIP_LOSS=1.810838 | MEAN_VALID_PER_ROW=6.88 | MEAN_VALID_OFFDIAG=5.88 | BATCH_RMSE=0.815341
  STEP 2700/2870 | TOTAL_LOSS=0.217575 | REG_LOSS=0.036596 | SOFTCLIP_LOSS=1.809785 | MEAN_VALID_PER_ROW=6.12 | MEAN_VALID_OFFDIAG=5.12 | BATCH_RMSE=0.191302
  STEP 2800/2870 | TOTAL_LOSS=0.463844 | REG_LOSS=0.308806 | SOFTCLIP_LOSS=1.550373 | MEAN_VALID_PER_ROW=6.38 | MEAN_VALID_OFFDIAG=5.38 | BATCH_RMSE=0.555703
[EPOCH 002/030] TRAIN: TOTAL=0.876152 | REG=0.696343 | SOFTCLIP=1.798089 | RMSE=0.834472 | MAE=0.581904 | CI=0.720805 | RM2=0.169837
[EPOCH 002/030] VAL  : TOTAL=0.646314 | REG=0.568326 | SOFTCLIP=0.779872 | RMSE=0.753874 | MAE=0.487087 | CI=0.775582 | RM2=0.266203

EPOCH 3/30
  STEP 100/2870 | TOTAL_LOSS=1.165964 | REG_LOSS=0.997393 | SOFTCLIP_LOSS=1.685708 | MEAN_VALID_PER_ROW=6.38 | MEAN_VALID_OFFDIAG=5.38 | BATCH_RMSE=0.998696
  STEP 200/2870 | TOTAL_LOSS=0.734015 | REG_LOSS=0.548887 | SOFTCLIP_LOSS=1.851278 | MEAN_VALID_PER_ROW=6.25 | MEAN_VALID_OFFDIAG=5.25 | BATCH_RMSE=0.740869
  STEP 300/2870 | TOTAL_LOSS=0.595995 | REG_LOSS=0.418471 | SOFTCLIP_LOSS=1.775241 | MEAN_VALID_PER_ROW=6.38 | MEAN_VALID_OFFDIAG=5.38 | BATCH_RMSE=0.646893
  STEP 400/2870 | TOTAL_LOSS=0.693455 | REG_LOSS=0.521520 | SOFTCLIP_LOSS=1.719345 | MEAN_VALID_PER_ROW=6.12 | MEAN_VALID_OFFDIAG=5.12 | BATCH_RMSE=0.722164
  STEP 500/2870 | TOTAL_LOSS=0.822925 | REG_LOSS=0.638200 | SOFTCLIP_LOSS=1.847259 | MEAN_VALID_PER_ROW=6.62 | MEAN_VALID_OFFDIAG=5.62 | BATCH_RMSE=0.798874
  STEP 600/2870 | TOTAL_LOSS=1.302792 | REG_LOSS=1.117061 | SOFTCLIP_LOSS=1.857311 | MEAN_VALID_PER_ROW=7.12 | MEAN_VALID_OFFDIAG=6.12 | BATCH_RMSE=1.056911
  STEP 700/2870 | TOTAL_LOSS=0.497081 | REG_LOSS=0.320734 | SOFTCLIP_LOSS=1.763469 | MEAN_VALID_PER_ROW=6.62 | MEAN_VALID_OFFDIAG=5.62 | BATCH_RMSE=0.566334
  STEP 800/2870 | TOTAL_LOSS=0.634872 | REG_LOSS=0.462228 | SOFTCLIP_LOSS=1.726433 | MEAN_VALID_PER_ROW=6.75 | MEAN_VALID_OFFDIAG=5.75 | BATCH_RMSE=0.679874
  STEP 900/2870 | TOTAL_LOSS=1.152508 | REG_LOSS=0.977876 | SOFTCLIP_LOSS=1.746320 | MEAN_VALID_PER_ROW=6.50 | MEAN_VALID_OFFDIAG=5.50 | BATCH_RMSE=0.988876
