Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(drug-protein) + pcl(protein1d-protein3d)

EPOCH 1/200
  STEP 3000/5739 | TOTAL_LOSS=0.477784 | REG_LOSS=0.304573 | SOFTCLIP_LOSS=0.983212 | PCL_LOSS=0.748900 | MEAN_GATE=0.5062 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | BATCH_RMSE=0.551881
  STEP 3100/5739 | TOTAL_LOSS=0.524737 | REG_LOSS=0.327646 | SOFTCLIP_LOSS=1.341918 | PCL_LOSS=0.628991 | MEAN_GATE=0.5040 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | BATCH_RMSE=0.572404
  STEP 3200/5739 | TOTAL_LOSS=2.495954 | REG_LOSS=2.335758 | SOFTCLIP_LOSS=1.182281 | PCL_LOSS=0.419686 | MEAN_GATE=0.5124 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | BATCH_RMSE=1.528319
  STEP 3300/5739 | TOTAL_LOSS=0.635912 | REG_LOSS=0.402828 | SOFTCLIP_LOSS=1.093852 | PCL_LOSS=1.236990 | MEAN_GATE=0.5107 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | BATCH_RMSE=0.634687
  STEP 3400/5739 | TOTAL_LOSS=0.948326 | REG_LOSS=0.807832 | SOFTCLIP_LOSS=0.980071 | PCL_LOSS=0.424867 | MEAN_GATE=0.5060 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | BATCH_RMSE=0.898795
  STEP 3500/5739 | TOTAL_LOSS=0.242865 | REG_LOSS=0.046065 | SOFTCLIP_LOSS=1.161554 | PCL_LOSS=0.806445 | MEAN_GATE=0.5107 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | BATCH_RMSE=0.214628
  STEP 3600/5739 | TOTAL_LOSS=0.389496 | REG_LOSS=0.180745 | SOFTCLIP_LOSS=1.246773 | PCL_LOSS=0.840736 | MEAN_GATE=0.5159 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | BATCH_RMSE=0.425141
  STEP 3700/5739 | TOTAL_LOSS=2.282438 | REG_LOSS=2.073039 | SOFTCLIP_LOSS=1.169744 | PCL_LOSS=0.924250 | MEAN_GATE=0.5029 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | BATCH_RMSE=1.439805
  STEP 3800/5739 | TOTAL_LOSS=1.415408 | REG_LOSS=1.223734 | SOFTCLIP_LOSS=1.215756 | PCL_LOSS=0.700982 | MEAN_GATE=0.5070 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | BATCH_RMSE=1.106225
  STEP 3900/5739 | TOTAL_LOSS=0.297277 | REG_LOSS=0.144243 | SOFTCLIP_LOSS=1.143338 | PCL_LOSS=0.386999 | MEAN_GATE=0.5104 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | BATCH_RMSE=0.379794
  STEP 4000/5739 | TOTAL_LOSS=0.992587 | REG_LOSS=0.734277 | SOFTCLIP_LOSS=1.278241 | PCL_LOSS=1.304863 | MEAN_GATE=0.5191 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | BATCH_RMSE=0.856900
  STEP 4100/5739 | TOTAL_LOSS=0.691196 | REG_LOSS=0.540574 | SOFTCLIP_LOSS=1.075894 | PCL_LOSS=0.430330 | MEAN_GATE=0.5026 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | BATCH_RMSE=0.735237
  STEP 4200/5739 | TOTAL_LOSS=0.631124 | REG_LOSS=0.419321 | SOFTCLIP_LOSS=1.202042 | PCL_LOSS=0.915992 | MEAN_GATE=0.4953 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | BATCH_RMSE=0.647550
  STEP 4300/5739 | TOTAL_LOSS=0.458745 | REG_LOSS=0.288747 | SOFTCLIP_LOSS=1.238945 | PCL_LOSS=0.461040 | MEAN_GATE=0.4923 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | BATCH_RMSE=0.537351
  STEP 4400/5739 | TOTAL_LOSS=0.623761 | REG_LOSS=0.455600 | SOFTCLIP_LOSS=1.193293 | PCL_LOSS=0.488323 | MEAN_GATE=0.4843 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | BATCH_RMSE=0.674981
  STEP 4500/5739 | TOTAL_LOSS=0.252766 | REG_LOSS=0.048841 | SOFTCLIP_LOSS=1.250743 | PCL_LOSS=0.788504 | MEAN_GATE=0.4875 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | BATCH_RMSE=0.221001
  STEP 4600/5739 | TOTAL_LOSS=0.652669 | REG_LOSS=0.479901 | SOFTCLIP_LOSS=1.168901 | PCL_LOSS=0.558776 | MEAN_GATE=0.4946 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | BATCH_RMSE=0.692749
  STEP 4700/5739 | TOTAL_LOSS=0.351676 | REG_LOSS=0.137944 | SOFTCLIP_LOSS=1.328963 | PCL_LOSS=0.808359 | MEAN_GATE=0.4967 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | BATCH_RMSE=0.371408
  STEP 4800/5739 | TOTAL_LOSS=0.414035 | REG_LOSS=0.227441 | SOFTCLIP_LOSS=1.106515 | PCL_LOSS=0.759426 | MEAN_GATE=0.4739 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | BATCH_RMSE=0.476908
  STEP 4900/5739 | TOTAL_LOSS=6.440316 | REG_LOSS=6.246777 | SOFTCLIP_LOSS=1.248186 | PCL_LOSS=0.687210 | MEAN_GATE=0.4797 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | BATCH_RMSE=2.499355
