Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(diag-mul) + pcl(protein1d-protein3d)

EPOCH 1/200
  STEP 2600/5739 | TOTAL_LOSS=3.284443 | REG_LOSS=3.073347 | SOFTCLIP_LOSS=1.240569 | PCL_LOSS=0.870394 | MEAN_GATE=0.5079 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3572 | DIAG_ALPHA=0.20 | BATCH_RMSE=1.753096
  STEP 2700/5739 | TOTAL_LOSS=1.037809 | REG_LOSS=0.881189 | SOFTCLIP_LOSS=1.157294 | PCL_LOSS=0.408902 | MEAN_GATE=0.5062 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2558 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.938717
  STEP 2800/5739 | TOTAL_LOSS=0.245608 | REG_LOSS=0.033278 | SOFTCLIP_LOSS=1.345475 | PCL_LOSS=0.777831 | MEAN_GATE=0.5061 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3009 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.182422
  STEP 2900/5739 | TOTAL_LOSS=0.470736 | REG_LOSS=0.312460 | SOFTCLIP_LOSS=1.359577 | PCL_LOSS=0.223189 | MEAN_GATE=0.5048 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | MEAN_DIAG_PRIOR_MASS=0.1787 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.558981
  STEP 3000/5739 | TOTAL_LOSS=0.485121 | REG_LOSS=0.310717 | SOFTCLIP_LOSS=0.998830 | PCL_LOSS=0.745209 | MEAN_GATE=0.5038 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.3067 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.557420
  STEP 3100/5739 | TOTAL_LOSS=0.518425 | REG_LOSS=0.329287 | SOFTCLIP_LOSS=1.332524 | PCL_LOSS=0.558862 | MEAN_GATE=0.5009 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2933 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.573835
  STEP 3200/5739 | TOTAL_LOSS=2.498056 | REG_LOSS=2.335520 | SOFTCLIP_LOSS=1.167236 | PCL_LOSS=0.458131 | MEAN_GATE=0.5103 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.1842 | DIAG_ALPHA=0.20 | BATCH_RMSE=1.528241
  STEP 3300/5739 | TOTAL_LOSS=0.635885 | REG_LOSS=0.407011 | SOFTCLIP_LOSS=1.097289 | PCL_LOSS=1.191456 | MEAN_GATE=0.5094 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.3728 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.637974
  STEP 3400/5739 | TOTAL_LOSS=0.952708 | REG_LOSS=0.812447 | SOFTCLIP_LOSS=0.983768 | PCL_LOSS=0.418842 | MEAN_GATE=0.5023 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.1940 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.901358
  STEP 3500/5739 | TOTAL_LOSS=0.248989 | REG_LOSS=0.049718 | SOFTCLIP_LOSS=1.166293 | PCL_LOSS=0.826422 | MEAN_GATE=0.5081 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3385 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.222974
  STEP 3600/5739 | TOTAL_LOSS=0.389321 | REG_LOSS=0.178363 | SOFTCLIP_LOSS=1.254084 | PCL_LOSS=0.855494 | MEAN_GATE=0.5145 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3304 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.422331
  STEP 3700/5739 | TOTAL_LOSS=2.230634 | REG_LOSS=2.058910 | SOFTCLIP_LOSS=1.182739 | PCL_LOSS=0.534506 | MEAN_GATE=0.4984 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.5415 | DIAG_ALPHA=0.20 | BATCH_RMSE=1.434890
  STEP 3800/5739 | TOTAL_LOSS=1.423529 | REG_LOSS=1.222832 | SOFTCLIP_LOSS=1.215200 | PCL_LOSS=0.791767 | MEAN_GATE=0.5036 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2937 | DIAG_ALPHA=0.20 | BATCH_RMSE=1.105817
  STEP 3900/5739 | TOTAL_LOSS=0.287015 | REG_LOSS=0.143367 | SOFTCLIP_LOSS=1.128095 | PCL_LOSS=0.308378 | MEAN_GATE=0.5064 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.2752 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.378639
  STEP 4000/5739 | TOTAL_LOSS=0.980529 | REG_LOSS=0.726783 | SOFTCLIP_LOSS=1.280600 | PCL_LOSS=1.256864 | MEAN_GATE=0.5164 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3197 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.852516
  STEP 4100/5739 | TOTAL_LOSS=0.671963 | REG_LOSS=0.528851 | SOFTCLIP_LOSS=1.072701 | PCL_LOSS=0.358425 | MEAN_GATE=0.4940 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.3137 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.727221
  STEP 4200/5739 | TOTAL_LOSS=0.659128 | REG_LOSS=0.430131 | SOFTCLIP_LOSS=1.210805 | PCL_LOSS=1.079166 | MEAN_GATE=0.4873 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3821 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.655844
  STEP 4300/5739 | TOTAL_LOSS=0.465024 | REG_LOSS=0.285667 | SOFTCLIP_LOSS=1.237162 | PCL_LOSS=0.556409 | MEAN_GATE=0.4868 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3304 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.534478
  STEP 4400/5739 | TOTAL_LOSS=0.677214 | REG_LOSS=0.453999 | SOFTCLIP_LOSS=1.186528 | PCL_LOSS=1.045622 | MEAN_GATE=0.4847 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | MEAN_DIAG_PRIOR_MASS=0.2474 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.673795
  STEP 4500/5739 | TOTAL_LOSS=0.204403 | REG_LOSS=0.053813 | SOFTCLIP_LOSS=1.255163 | PCL_LOSS=0.250743 | MEAN_GATE=0.4845 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2995 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.231976
  STEP 4600/5739 | TOTAL_LOSS=0.647094 | REG_LOSS=0.483399 | SOFTCLIP_LOSS=1.171049 | PCL_LOSS=0.465901 | MEAN_GATE=0.4958 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3896 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.695269
  STEP 4700/5739 | TOTAL_LOSS=0.342907 | REG_LOSS=0.139756 | SOFTCLIP_LOSS=1.338666 | PCL_LOSS=0.692843 | MEAN_GATE=0.4872 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2897 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.373839
  STEP 4800/5739 | TOTAL_LOSS=0.441735 | REG_LOSS=0.233596 | SOFTCLIP_LOSS=1.106629 | PCL_LOSS=0.974759 | MEAN_GATE=0.4576 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3110 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.483318
  STEP 4900/5739 | TOTAL_LOSS=6.473920 | REG_LOSS=6.265891 | SOFTCLIP_LOSS=1.233983 | PCL_LOSS=0.846305 | MEAN_GATE=0.4712 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4028 | DIAG_ALPHA=0.20 | BATCH_RMSE=2.503176
  STEP 5000/5739 | TOTAL_LOSS=0.996611 | REG_LOSS=0.823075 | SOFTCLIP_LOSS=1.286148 | PCL_LOSS=0.449211 | MEAN_GATE=0.5047 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.4131 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.907235
