SWEEP START: 2026-04-19T06:59:02.311318\nSWEEP DIR: outputs/softclip_pcl_sweeps/softclip_pcl_sweep_20260419_065902\n\n\n====================================================================================================\n[RUN 1/5] bs2_lr0.0003_lc0.1_lp0.1_temp0.07_at1_pt0.07\nSTART: 2026-04-19T06:59:02.311555\nOUTPUT_DIR: outputs/softclip_pcl_sweeps/softclip_pcl_sweep_20260419_065902/bs2_lr0.0003_lc0.1_lp0.1_temp0.07_at1_pt0.07\nCOMMAND: /data1/ztx/.conda/envs/mdta/bin/python -u train_p13d_softclip_pcl.py --pairs_csv data/raw/davis/pairs.csv --drug_1d_dir data/processed/davis/drug_1d_chemberta2 --protein_1d_dir data/processed/davis/protein_1d_esm2 --protein_3d_dir data/processed/davis/protein_3d_min --split_json data/splits/davis_fixed_split_size2.json --output_dir outputs/softclip_pcl_sweeps/softclip_pcl_sweep_20260419_065902/bs2_lr0.0003_lc0.1_lp0.1_temp0.07_at1_pt0.07 --drug_1d_in_dim 768 --hidden_dim 128 --contrastive_dim 128 --dropout 0.1 --epochs 30 --batch_size 2 --lr 0.0003 --lambda_clip 0.1 --lambda_pcl 0.1 --temperature_init 0.07 --affinity_temperature 1.0 --pcl_temperature_init 0.07 --num_workers 0 --weight_decay 1e-05 --seed 42\n====================================================================================================\nUsing device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(drug-protein) + pcl(protein1d-protein3d)

EPOCH 1/30
  STEP 3600/11478 | TOTAL_LOSS=0.183529 | REG_LOSS=0.110878 | SOFTCLIP_LOSS=-0.000000 | PCL_LOSS=0.726510 | MEAN_GATE=0.4941 | MEAN_VALID_PER_ROW=1.00 | MEAN_VALID_OFFDIAG=0.00 | BATCH_RMSE=0.332983
  STEP 3700/11478 | TOTAL_LOSS=3.025716 | REG_LOSS=3.017413 | SOFTCLIP_LOSS=-0.000000 | PCL_LOSS=0.083024 | MEAN_GATE=0.4935 | MEAN_VALID_PER_ROW=1.00 | MEAN_VALID_OFFDIAG=0.00 | BATCH_RMSE=1.737070
  STEP 3800/11478 | TOTAL_LOSS=2.391447 | REG_LOSS=2.344606 | SOFTCLIP_LOSS=0.346207 | PCL_LOSS=0.122196 | MEAN_GATE=0.4937 | MEAN_VALID_PER_ROW=1.50 | MEAN_VALID_OFFDIAG=0.50 | BATCH_RMSE=1.531211
  STEP 3900/11478 | TOTAL_LOSS=0.466112 | REG_LOSS=0.314928 | SOFTCLIP_LOSS=0.693533 | PCL_LOSS=0.818303 | MEAN_GATE=0.4911 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.561185
  STEP 4000/11478 | TOTAL_LOSS=3.057433 | REG_LOSS=3.027260 | SOFTCLIP_LOSS=0.301348 | PCL_LOSS=0.000381 | MEAN_GATE=0.4893 | MEAN_VALID_PER_ROW=1.50 | MEAN_VALID_OFFDIAG=0.50 | BATCH_RMSE=1.739902
  STEP 4100/11478 | TOTAL_LOSS=1.275404 | REG_LOSS=1.074126 | SOFTCLIP_LOSS=0.666418 | PCL_LOSS=1.346367 | MEAN_GATE=0.4895 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=1.036400
  STEP 4200/11478 | TOTAL_LOSS=0.326888 | REG_LOSS=0.258320 | SOFTCLIP_LOSS=0.679257 | PCL_LOSS=0.006428 | MEAN_GATE=0.4919 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.508252
  STEP 4300/11478 | TOTAL_LOSS=0.583257 | REG_LOSS=0.470729 | SOFTCLIP_LOSS=0.654384 | PCL_LOSS=0.470900 | MEAN_GATE=0.4939 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.686097
  STEP 4400/11478 | TOTAL_LOSS=0.801055 | REG_LOSS=0.656493 | SOFTCLIP_LOSS=0.703772 | PCL_LOSS=0.741853 | MEAN_GATE=0.4935 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.810242
  STEP 4500/11478 | TOTAL_LOSS=0.377798 | REG_LOSS=0.312251 | SOFTCLIP_LOSS=0.652057 | PCL_LOSS=0.003417 | MEAN_GATE=0.4837 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.558794
