Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(drug-protein) + pcl(protein1d-protein3d)

EPOCH 1/30
  STEP 1600/2870 | TOTAL_LOSS=0.571146 | REG_LOSS=0.327294 | SOFTCLIP_LOSS=1.851465 | PCL_LOSS=0.587049 | MEAN_GATE=0.5051 | MEAN_VALID_PER_ROW=6.62 | MEAN_VALID_OFFDIAG=5.62 | BATCH_RMSE=0.572096
  STEP 1700/2870 | TOTAL_LOSS=1.919217 | REG_LOSS=1.710225 | SOFTCLIP_LOSS=1.758504 | PCL_LOSS=0.331419 | MEAN_GATE=0.5103 | MEAN_VALID_PER_ROW=6.88 | MEAN_VALID_OFFDIAG=5.88 | BATCH_RMSE=1.307756
  STEP 1800/2870 | TOTAL_LOSS=1.122751 | REG_LOSS=0.898033 | SOFTCLIP_LOSS=1.461380 | PCL_LOSS=0.785803 | MEAN_GATE=0.5133 | MEAN_VALID_PER_ROW=5.88 | MEAN_VALID_OFFDIAG=4.88 | BATCH_RMSE=0.947646
  STEP 1900/2870 | TOTAL_LOSS=1.139770 | REG_LOSS=0.953718 | SOFTCLIP_LOSS=1.447129 | PCL_LOSS=0.413393 | MEAN_GATE=0.5008 | MEAN_VALID_PER_ROW=6.50 | MEAN_VALID_OFFDIAG=5.50 | BATCH_RMSE=0.976585
  STEP 2000/2870 | TOTAL_LOSS=0.856520 | REG_LOSS=0.628731 | SOFTCLIP_LOSS=1.904056 | PCL_LOSS=0.373841 | MEAN_GATE=0.4951 | MEAN_VALID_PER_ROW=7.00 | MEAN_VALID_OFFDIAG=6.00 | BATCH_RMSE=0.792925
  STEP 2100/2870 | TOTAL_LOSS=0.487632 | REG_LOSS=0.229912 | SOFTCLIP_LOSS=2.021257 | PCL_LOSS=0.555946 | MEAN_GATE=0.4829 | MEAN_VALID_PER_ROW=7.75 | MEAN_VALID_OFFDIAG=6.75 | BATCH_RMSE=0.479492
  STEP 2200/2870 | TOTAL_LOSS=0.344157 | REG_LOSS=0.137906 | SOFTCLIP_LOSS=1.693623 | PCL_LOSS=0.368883 | MEAN_GATE=0.5280 | MEAN_VALID_PER_ROW=6.50 | MEAN_VALID_OFFDIAG=5.50 | BATCH_RMSE=0.371357
  STEP 2300/2870 | TOTAL_LOSS=1.547611 | REG_LOSS=1.281142 | SOFTCLIP_LOSS=1.810035 | PCL_LOSS=0.854651 | MEAN_GATE=0.4955 | MEAN_VALID_PER_ROW=6.75 | MEAN_VALID_OFFDIAG=5.75 | BATCH_RMSE=1.131875
  STEP 2400/2870 | TOTAL_LOSS=1.037853 | REG_LOSS=0.773802 | SOFTCLIP_LOSS=1.883888 | PCL_LOSS=0.756620 | MEAN_GATE=0.4861 | MEAN_VALID_PER_ROW=6.88 | MEAN_VALID_OFFDIAG=5.88 | BATCH_RMSE=0.879660
  STEP 2500/2870 | TOTAL_LOSS=1.643175 | REG_LOSS=1.425614 | SOFTCLIP_LOSS=1.812192 | PCL_LOSS=0.363414 | MEAN_GATE=0.4858 | MEAN_VALID_PER_ROW=7.00 | MEAN_VALID_OFFDIAG=6.00 | BATCH_RMSE=1.193991
  STEP 2600/2870 | TOTAL_LOSS=0.936439 | REG_LOSS=0.724432 | SOFTCLIP_LOSS=1.707236 | PCL_LOSS=0.412833 | MEAN_GATE=0.4888 | MEAN_VALID_PER_ROW=6.75 | MEAN_VALID_OFFDIAG=5.75 | BATCH_RMSE=0.851136
  STEP 2700/2870 | TOTAL_LOSS=1.997402 | REG_LOSS=1.763979 | SOFTCLIP_LOSS=1.747200 | PCL_LOSS=0.587035 | MEAN_GATE=0.5098 | MEAN_VALID_PER_ROW=7.38 | MEAN_VALID_OFFDIAG=6.38 | BATCH_RMSE=1.328149
  STEP 2800/2870 | TOTAL_LOSS=0.633882 | REG_LOSS=0.412576 | SOFTCLIP_LOSS=1.876221 | PCL_LOSS=0.336835 | MEAN_GATE=0.5093 | MEAN_VALID_PER_ROW=6.50 | MEAN_VALID_OFFDIAG=5.50 | BATCH_RMSE=0.642321
