SWEEP START: 2026-04-18T06:49:02.530100
SWEEP DIR: outputs/pcl_sweeps/pcl_sweep_20260418_064902


====================================================================================================
[RUN 1/5] bs2_lr0.0003_lp0.1_temp0.07
START: 2026-04-18T06:49:02.530395
OUTPUT_DIR: outputs/pcl_sweeps/pcl_sweep_20260418_064902/bs2_lr0.0003_lp0.1_temp0.07
COMMAND: /data1/ztx/.conda/envs/mdta/bin/python -u train_p13d_pcl.py --pairs_csv data/raw/davis/pairs.csv --drug_1d_dir data/processed/davis/drug_1d_chemberta2 --protein_1d_dir data/processed/davis/protein_1d_esm2 --protein_3d_dir data/processed/davis/protein_3d_min --split_json data/splits/davis_fixed_split_size2.json --output_dir outputs/pcl_sweeps/pcl_sweep_20260418_064902/bs2_lr0.0003_lp0.1_temp0.07 --drug_1d_in_dim 768 --hidden_dim 128 --contrastive_dim 128 --dropout 0.1 --epochs 30 --batch_size 2 --lr 0.0003 --lambda_pcl 0.1 --temperature_init 0.07 --num_workers 0 --weight_decay 1e-05 --seed 42
====================================================================================================
Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + protein(1d-3d) contrastive learning

EPOCH 1/30
  STEP 3800/11478 | TOTAL_LOSS=0.105421 | REG_LOSS=0.065447 | PCL_LOSS=0.399747 | MEAN_GATE=0.4956 | BATCH_RMSE=0.255826
  STEP 3900/11478 | TOTAL_LOSS=0.770199 | REG_LOSS=0.763142 | PCL_LOSS=0.070562 | MEAN_GATE=0.4905 | BATCH_RMSE=0.873580
  STEP 4000/11478 | TOTAL_LOSS=0.438982 | REG_LOSS=0.416131 | PCL_LOSS=0.228511 | MEAN_GATE=0.4910 | BATCH_RMSE=0.645082
  STEP 4100/11478 | TOTAL_LOSS=0.350056 | REG_LOSS=0.303057 | PCL_LOSS=0.469986 | MEAN_GATE=0.4925 | BATCH_RMSE=0.550507
  STEP 4200/11478 | TOTAL_LOSS=2.073353 | REG_LOSS=2.067647 | PCL_LOSS=0.057057 | MEAN_GATE=0.4916 | BATCH_RMSE=1.437931
  STEP 4300/11478 | TOTAL_LOSS=0.118967 | REG_LOSS=0.039092 | PCL_LOSS=0.798751 | MEAN_GATE=0.4935 | BATCH_RMSE=0.197716
  STEP 4400/11478 | TOTAL_LOSS=0.197807 | REG_LOSS=0.193549 | PCL_LOSS=0.042584 | MEAN_GATE=0.4883 | BATCH_RMSE=0.439942
  STEP 4500/11478 | TOTAL_LOSS=0.527142 | REG_LOSS=0.503223 | PCL_LOSS=0.239183 | MEAN_GATE=0.4894 | BATCH_RMSE=0.709382
  STEP 4600/11478 | TOTAL_LOSS=0.121907 | REG_LOSS=0.116216 | PCL_LOSS=0.056910 | MEAN_GATE=0.4903 | BATCH_RMSE=0.340904
  STEP 4700/11478 | TOTAL_LOSS=0.504593 | REG_LOSS=0.504588 | PCL_LOSS=0.000055 | MEAN_GATE=0.4909 | BATCH_RMSE=0.710344
  STEP 4800/11478 | TOTAL_LOSS=0.050080 | REG_LOSS=0.003985 | PCL_LOSS=0.460942 | MEAN_GATE=0.4941 | BATCH_RMSE=0.063130
  STEP 4900/11478 | TOTAL_LOSS=1.617552 | REG_LOSS=1.580255 | PCL_LOSS=0.372969 | MEAN_GATE=0.4916 | BATCH_RMSE=1.257082
  STEP 5000/11478 | TOTAL_LOSS=0.503046 | REG_LOSS=0.500026 | PCL_LOSS=0.030206 | MEAN_GATE=0.4926 | BATCH_RMSE=0.707125
  STEP 5100/11478 | TOTAL_LOSS=0.187901 | REG_LOSS=0.187901 | PCL_LOSS=0.000001 | MEAN_GATE=0.4935 | BATCH_RMSE=0.433475
  STEP 5200/11478 | TOTAL_LOSS=1.043676 | REG_LOSS=1.043674 | PCL_LOSS=0.000019 | MEAN_GATE=0.4908 | BATCH_RMSE=1.021603
  STEP 5300/11478 | TOTAL_LOSS=1.103811 | REG_LOSS=1.103213 | PCL_LOSS=0.005979 | MEAN_GATE=0.4927 | BATCH_RMSE=1.050339
  STEP 5400/11478 | TOTAL_LOSS=0.239725 | REG_LOSS=0.161966 | PCL_LOSS=0.777592 | MEAN_GATE=0.4784 | BATCH_RMSE=0.402450
  STEP 5500/11478 | TOTAL_LOSS=1.042928 | REG_LOSS=1.038291 | PCL_LOSS=0.046370 | MEAN_GATE=0.4860 | BATCH_RMSE=1.018965
  STEP 5600/11478 | TOTAL_LOSS=0.237418 | REG_LOSS=0.235219 | PCL_LOSS=0.021982 | MEAN_GATE=0.4899 | BATCH_RMSE=0.484994
  STEP 5700/11478 | TOTAL_LOSS=0.159566 | REG_LOSS=0.123573 | PCL_LOSS=0.359933 | MEAN_GATE=0.4946 | BATCH_RMSE=0.351529
  STEP 5800/11478 | TOTAL_LOSS=0.042210 | REG_LOSS=0.041988 | PCL_LOSS=0.002217 | MEAN_GATE=0.4952 | BATCH_RMSE=0.204911
  STEP 5900/11478 | TOTAL_LOSS=0.224056 | REG_LOSS=0.214795 | PCL_LOSS=0.092610 | MEAN_GATE=0.4967 | BATCH_RMSE=0.463459
  STEP 6000/11478 | TOTAL_LOSS=1.063154 | REG_LOSS=1.063136 | PCL_LOSS=0.000180 | MEAN_GATE=0.4854 | BATCH_RMSE=1.031085
  STEP 6100/11478 | TOTAL_LOSS=0.145335 | REG_LOSS=0.077115 | PCL_LOSS=0.682195 | MEAN_GATE=0.4754 | BATCH_RMSE=0.277696
  STEP 6200/11478 | TOTAL_LOSS=0.645344 | REG_LOSS=0.645329 | PCL_LOSS=0.000154 | MEAN_GATE=0.4902 | BATCH_RMSE=0.803324
  STEP 6300/11478 | TOTAL_LOSS=0.369867 | REG_LOSS=0.314479 | PCL_LOSS=0.553884 | MEAN_GATE=0.4895 | BATCH_RMSE=0.560784
  STEP 6400/11478 | TOTAL_LOSS=0.505894 | REG_LOSS=0.505396 | PCL_LOSS=0.004981 | MEAN_GATE=0.4953 | BATCH_RMSE=0.710912
  STEP 6500/11478 | TOTAL_LOSS=0.104297 | REG_LOSS=0.021061 | PCL_LOSS=0.832366 | MEAN_GATE=0.4908 | BATCH_RMSE=0.145124
  STEP 6600/11478 | TOTAL_LOSS=0.152088 | REG_LOSS=0.126759 | PCL_LOSS=0.253292 | MEAN_GATE=0.4631 | BATCH_RMSE=0.356033
  STEP 6700/11478 | TOTAL_LOSS=0.151598 | REG_LOSS=0.151597 | PCL_LOSS=0.000011 | MEAN_GATE=0.4869 | BATCH_RMSE=0.389355
  STEP 6800/11478 | TOTAL_LOSS=1.420048 | REG_LOSS=1.412933 | PCL_LOSS=0.071153 | MEAN_GATE=0.4827 | BATCH_RMSE=1.188668
  STEP 6900/11478 | TOTAL_LOSS=0.841857 | REG_LOSS=0.712901 | PCL_LOSS=1.289560 | MEAN_GATE=0.4747 | BATCH_RMSE=0.844335
  STEP 7000/11478 | TOTAL_LOSS=0.016208 | REG_LOSS=0.012378 | PCL_LOSS=0.038298 | MEAN_GATE=0.4825 | BATCH_RMSE=0.111258
  STEP 7100/11478 | TOTAL_LOSS=0.329780 | REG_LOSS=0.254098 | PCL_LOSS=0.756815 | MEAN_GATE=0.4855 | BATCH_RMSE=0.504082
  STEP 7200/11478 | TOTAL_LOSS=0.135161 | REG_LOSS=0.063584 | PCL_LOSS=0.715763 | MEAN_GATE=0.4863 | BATCH_RMSE=0.252159
  STEP 7300/11478 | TOTAL_LOSS=0.497028 | REG_LOSS=0.497027 | PCL_LOSS=0.000009 | MEAN_GATE=0.4873 | BATCH_RMSE=0.705001
  STEP 7400/11478 | TOTAL_LOSS=0.658881 | REG_LOSS=0.600329 | PCL_LOSS=0.585512 | MEAN_GATE=0.4922 | BATCH_RMSE=0.774809
  STEP 7500/11478 | TOTAL_LOSS=4.508627 | REG_LOSS=4.508533 | PCL_LOSS=0.000934 | MEAN_GATE=0.4900 | BATCH_RMSE=2.123331
  STEP 7600/11478 | TOTAL_LOSS=0.602067 | REG_LOSS=0.515467 | PCL_LOSS=0.866000 | MEAN_GATE=0.4949 | BATCH_RMSE=0.717961
  STEP 7700/11478 | TOTAL_LOSS=0.820006 | REG_LOSS=0.796065 | PCL_LOSS=0.239410 | MEAN_GATE=0.4943 | BATCH_RMSE=0.892225
  STEP 7800/11478 | TOTAL_LOSS=0.459013 | REG_LOSS=0.459013 | PCL_LOSS=0.000000 | MEAN_GATE=0.4819 | BATCH_RMSE=0.677505
