Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + protein(1d-3d) contrastive learning

EPOCH 1/30
  STEP 200/5739 | TOTAL_LOSS=0.418835 | REG_LOSS=0.372609 | PCL_LOSS=0.462253 | MEAN_GATE=0.4640 | BATCH_RMSE=0.610417
  STEP 300/5739 | TOTAL_LOSS=0.352943 | REG_LOSS=0.309901 | PCL_LOSS=0.430417 | MEAN_GATE=0.5048 | BATCH_RMSE=0.556688
  STEP 400/5739 | TOTAL_LOSS=0.308412 | REG_LOSS=0.244893 | PCL_LOSS=0.635188 | MEAN_GATE=0.4385 | BATCH_RMSE=0.494867
  STEP 500/5739 | TOTAL_LOSS=0.561070 | REG_LOSS=0.529335 | PCL_LOSS=0.317349 | MEAN_GATE=0.4864 | BATCH_RMSE=0.727554
  STEP 600/5739 | TOTAL_LOSS=0.126286 | REG_LOSS=0.104679 | PCL_LOSS=0.216067 | MEAN_GATE=0.4584 | BATCH_RMSE=0.323542
  STEP 700/5739 | TOTAL_LOSS=0.608645 | REG_LOSS=0.516445 | PCL_LOSS=0.922002 | MEAN_GATE=0.4674 | BATCH_RMSE=0.718641
  STEP 800/5739 | TOTAL_LOSS=1.338490 | REG_LOSS=1.338239 | PCL_LOSS=0.002509 | MEAN_GATE=0.4866 | BATCH_RMSE=1.156823
  STEP 900/5739 | TOTAL_LOSS=0.144207 | REG_LOSS=0.130623 | PCL_LOSS=0.135845 | MEAN_GATE=0.4859 | BATCH_RMSE=0.361418
  STEP 1000/5739 | TOTAL_LOSS=1.508714 | REG_LOSS=1.419471 | PCL_LOSS=0.892437 | MEAN_GATE=0.4589 | BATCH_RMSE=1.191415
  STEP 1100/5739 | TOTAL_LOSS=0.596069 | REG_LOSS=0.595243 | PCL_LOSS=0.008265 | MEAN_GATE=0.4521 | BATCH_RMSE=0.771520
  STEP 1200/5739 | TOTAL_LOSS=0.457908 | REG_LOSS=0.441382 | PCL_LOSS=0.165266 | MEAN_GATE=0.5019 | BATCH_RMSE=0.664366
  STEP 1300/5739 | TOTAL_LOSS=0.193661 | REG_LOSS=0.112595 | PCL_LOSS=0.810659 | MEAN_GATE=0.4782 | BATCH_RMSE=0.335552
  STEP 1400/5739 | TOTAL_LOSS=0.384303 | REG_LOSS=0.353999 | PCL_LOSS=0.303042 | MEAN_GATE=0.4820 | BATCH_RMSE=0.594978
  STEP 1500/5739 | TOTAL_LOSS=1.593116 | REG_LOSS=1.591257 | PCL_LOSS=0.018583 | MEAN_GATE=0.4249 | BATCH_RMSE=1.261451
  STEP 1600/5739 | TOTAL_LOSS=2.093418 | REG_LOSS=2.060688 | PCL_LOSS=0.327295 | MEAN_GATE=0.4979 | BATCH_RMSE=1.435510
  STEP 1700/5739 | TOTAL_LOSS=0.105847 | REG_LOSS=0.080790 | PCL_LOSS=0.250569 | MEAN_GATE=0.4629 | BATCH_RMSE=0.284237
  STEP 1800/5739 | TOTAL_LOSS=0.243354 | REG_LOSS=0.236222 | PCL_LOSS=0.071320 | MEAN_GATE=0.4286 | BATCH_RMSE=0.486027
  STEP 1900/5739 | TOTAL_LOSS=0.031405 | REG_LOSS=0.011635 | PCL_LOSS=0.197699 | MEAN_GATE=0.4258 | BATCH_RMSE=0.107865
  STEP 2000/5739 | TOTAL_LOSS=1.437838 | REG_LOSS=1.436286 | PCL_LOSS=0.015520 | MEAN_GATE=0.4661 | BATCH_RMSE=1.198451
  STEP 2100/5739 | TOTAL_LOSS=0.165137 | REG_LOSS=0.134610 | PCL_LOSS=0.305274 | MEAN_GATE=0.4377 | BATCH_RMSE=0.366892
  STEP 2200/5739 | TOTAL_LOSS=0.075350 | REG_LOSS=0.051959 | PCL_LOSS=0.233911 | MEAN_GATE=0.4425 | BATCH_RMSE=0.227946
  STEP 2300/5739 | TOTAL_LOSS=0.223001 | REG_LOSS=0.164960 | PCL_LOSS=0.580418 | MEAN_GATE=0.4285 | BATCH_RMSE=0.406152
  STEP 2400/5739 | TOTAL_LOSS=0.420008 | REG_LOSS=0.378518 | PCL_LOSS=0.414901 | MEAN_GATE=0.4471 | BATCH_RMSE=0.615238
  STEP 2500/5739 | TOTAL_LOSS=0.633565 | REG_LOSS=0.584065 | PCL_LOSS=0.494997 | MEAN_GATE=0.4604 | BATCH_RMSE=0.764242
  STEP 2600/5739 | TOTAL_LOSS=0.510453 | REG_LOSS=0.443745 | PCL_LOSS=0.667082 | MEAN_GATE=0.4627 | BATCH_RMSE=0.666142
  STEP 2700/5739 | TOTAL_LOSS=0.811752 | REG_LOSS=0.790050 | PCL_LOSS=0.217018 | MEAN_GATE=0.4545 | BATCH_RMSE=0.888848
  STEP 2800/5739 | TOTAL_LOSS=0.557945 | REG_LOSS=0.521244 | PCL_LOSS=0.367015 | MEAN_GATE=0.4345 | BATCH_RMSE=0.721972
  STEP 2900/5739 | TOTAL_LOSS=0.794363 | REG_LOSS=0.754155 | PCL_LOSS=0.402081 | MEAN_GATE=0.5016 | BATCH_RMSE=0.868421
  STEP 3000/5739 | TOTAL_LOSS=0.446055 | REG_LOSS=0.446036 | PCL_LOSS=0.000182 | MEAN_GATE=0.4582 | BATCH_RMSE=0.667860
  STEP 3100/5739 | TOTAL_LOSS=0.452225 | REG_LOSS=0.361874 | PCL_LOSS=0.903509 | MEAN_GATE=0.4502 | BATCH_RMSE=0.601559
  STEP 3200/5739 | TOTAL_LOSS=0.609524 | REG_LOSS=0.539158 | PCL_LOSS=0.703658 | MEAN_GATE=0.4405 | BATCH_RMSE=0.734274
  STEP 3300/5739 | TOTAL_LOSS=1.105090 | REG_LOSS=1.061665 | PCL_LOSS=0.434255 | MEAN_GATE=0.4227 | BATCH_RMSE=1.030371
  STEP 3400/5739 | TOTAL_LOSS=0.131443 | REG_LOSS=0.063314 | PCL_LOSS=0.681289 | MEAN_GATE=0.4321 | BATCH_RMSE=0.251622
  STEP 3500/5739 | TOTAL_LOSS=0.178627 | REG_LOSS=0.139155 | PCL_LOSS=0.394726 | MEAN_GATE=0.4409 | BATCH_RMSE=0.373034
  STEP 3600/5739 | TOTAL_LOSS=0.404729 | REG_LOSS=0.362226 | PCL_LOSS=0.425034 | MEAN_GATE=0.4115 | BATCH_RMSE=0.601852
  STEP 3700/5739 | TOTAL_LOSS=0.375287 | REG_LOSS=0.321481 | PCL_LOSS=0.538063 | MEAN_GATE=0.4232 | BATCH_RMSE=0.566993
